,"Active Status","Type","Item","Description","Sales Tax Code","Purchase Tax Code","Account","COGS Account","Asset Account","Accumulated Depreciation","Purchase Description","Quantity On Hand","U/M","U/M Set","Cost","Preferred Vendor","Tax Agency","Price","Gross Price","Amounts Include Tax","Reorder Pt (Min)","Manu. Part No.","Purchased for Resale","Sales Tax Return Line","Price L1","Price L2","AZ","Note","itemname"
,"Active","Inventory Part","Processors:AMD:FX-8370WC","AMD FX-8370 4.0G/8M with Wraith Cooler (FD8370FRHKHBX)","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD FX-8370 4.0G/8M with Wraith Cooler",0,"each (ea)","Count in each",198.00,,,0.00,0,"No","","FD8370FRHKHBX","No",,,,,,
,"Active","Inventory Part","Processors:AMD:AR-2990WX","AMD Ryzen Threadripper 32-core 64 Threads sTR4 2990WX 250W Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD Ryzen Threadripper 32-core 64 Threads sTR4 2990WX 250W Retail",0,"each (ea)","Count in each",0.00,,,0.00,0,"No","","YD299XAZAFWOF","No",,,,,,
,"Active","Inventory Part","Processors:AMD:A10-9700","AMD A10-9700 3.5G/AM4/65W Bristol Riddge Quad Core/Radeon R7","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD A10-9700 3.5G/AM4/65W Bristol Riddge Quad Core/Radeon R7",0,"each (ea)","Count in each",97.95,,,0.00,0,"No","","AD9700AGABBOX","No",,,,,,
,"Active","Inventory Part","Processors:AMD:A6-9500","AMD A6-9500 Bristol Ridge Dual Core 3.5G/AM4/65W Radeon R5","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD A6-9500 Bristol Ridge Dual Core 3.5G/AM4/65W Radeon R5",0,"each (ea)","Count in each",63.45,,,0.00,0,"No","","AD9500AGABBOX","No",,,,,,
,"Active","Inventory Part","Processors:AMD:A8-9600","AMD A8-9600 Bristol Ridge 3.1G/AM4/65W Quad Core/Radeon R7","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD A8-9600 Bristol Ridge 3.1G/AM4/65W Quad Core/Radeon R7",0,"each (ea)","Count in each",75.50,,,102.50,115.825,"No","","AD9600AGABBOX","No",,"79.5/0504","80.5","102.5/0420",,
,"Active","Inventory Part","Processors:AMD:AA-200GE","AMD Athlon 200GE Dual-Core 3.2G/5M/AM4 Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD Athlon 200GE Dual-Core 3.2G/5M/AM4 Retail",0,"each (ea)","Count in each",70.00,,,0.00,0,"No","","YD200GC6FBBOX","No",,,,,,
,"Active","Inventory Part","Processors:AMD:AR-1900X","AMD Ryzen Threadripper 1900X 3.8G/16M/180W Socket TR4","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD Ryzen Threadripper 1900X 3.8G/16M/180W Socket TR4",0,"each (ea)","Count in each",565.89,,,0.00,0,"No",""," YD190XA8AEWOF","No",,,,,,
,"Active","Inventory Part","Processors:AMD:AR-1920X","AMD Ryzen 1920X 3.5G/32M/S-TR4 180W Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD Ryzen 1920X 3.5G/32M/S-TR4 180W Retail",0,"each (ea)","Count in each",326.20,,,399.99,451.9887,"No",""," YD192XA8AEWOF","No",,"369/0413","371","399.99/0413",,
,"Active","Inventory Part","Processors:AMD:AR-1950X","AMD Ryzen Threadripper 1950X 3.4G/32M/180W Socket TR4","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD Ryzen Threadripper 1950X 3.4G/32M/180W Socket TR4",0,"each (ea)","Count in each",964.99,,,0.00,0,"No","","YD195XA8AEWOF","No",,,,,,
,"Active","Inventory Part","Processors:AMD:AR-2950X","AMD CPU Ryzen Threadripper 2950X 16Cores/32Threads sTR4 180W Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD CPU Ryzen Threadripper 2950X 16Cores/32Threads sTR4 180W Retail",0,"each (ea)","Count in each",935.43,,,0.00,0,"No",""," YD295XA8AFWOF","No",,,,,,
,"Active","Inventory Part","Processors:AMD:AR3-1200","AMD RYZEN 3 1200 4-Core 3.1 GHz (3.4 GHz Turbo) Socket AM4 65W Desktop PrOCESSOR","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD RYZEN 3 1200 4-Core 3.1 GHz (3.4 GHz Turbo) Socket AM4 65W Desktop PrOCESSOR",0,"each (ea)","Count in each",77.17,,,0.00,0,"No",""," YD1200BBAEBOX","No",,,,,,
,"Active","Inventory Part","Processors:AMD:AR3-1300X","AMD RYZEN 3 1300X 4-Core 3.5 GHz (3.7 GHz Turbo) Socket AM4 65W Processor","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD RYZEN 3 1300X 4-Core 3.5 GHz (3.7 GHz Turbo) Socket AM4 65W Processor",0,"each (ea)","Count in each",160.48,,,0.00,0,"No","","YD130XBBAEBOX","No",,,,,,
,"Active","Inventory Part","Processors:AMD:AR3-2200G","AMD Ryzen-3 2200G Quad Core 3.5G/AM4-65W Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD Ryzen-3 2200G Quad Core 3.5G/AM4-65W Retail",0,"each (ea)","Count in each",120.18,,,169.99,192.0887,"No","","YD2200C5FBBOX","No",,"125/0712","126","169.99/0413",,
,"Active","Inventory Part","Processors:AMD:AR5-1400","AMD Ryzen 5 1400 4-Core 3.2G/AM4 65W","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"AMD Ryzen 5 1400 4-Core 3.2G/AM4 65W",0,"each (ea)","Count in each",187.27,,,0.00,0,"No","","YD1400BBAEBOX","No",,,,,,
