,"Active Status","Type","Item","Description","Sales Tax Code","Purchase Tax Code","Account","COGS Account","Asset Account","Accumulated Depreciation","Purchase Description","Quantity On Hand","U/M","U/M Set","Cost","Preferred Vendor","Tax Agency","Price","Gross Price","Amounts Include Tax","Reorder Pt (Min)","Manu. Part No.","Purchased for Resale","Sales Tax Return Line","Price L1","Price L2","AZ","Note","itemname"
,"Active","Inventory Part","Processors:INTEL:E-2174G","Intel Xeon E-2174G Coffee Lake 3.8 GHz LGA 1151 71W BX80684E2174G Server Processor Intel UHD Gra...","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Xeon E-2174G Coffee Lake 3.8 GHz LGA 1151 71W BX80684E2174G Server Processor Intel UHD Gra...",0,"each (ea)","Count in each",462.00,,,0.00,0,"No","","BX80684E2174G","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:4214","Intel Xeon 4214 12cores 2.2G LGA3647","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Xeon 4214 12cores 2.2G LGA3647",0,"each (ea)","Count in each",0.00,,,0.00,0,"No","","CD8069504212601 - OEM","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:E-2236","Intel Xeon E-2236 3.4G 12MB FC-LGA14C 6C/12T Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Xeon E-2236 3.4G 12MB FC-LGA14C 6C/12T Retail",0,"each (ea)","Count in each",435.40,,,0.00,0,"No","","BX80684E2236","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:i9-9940X (Open Box)","Open Box Intel Core i9-9940X 3.3G/19.25M LGS2066 Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Open Box Intel Core i9-9940X 3.3G/19.25M LGS2066 Retail",0,"each (ea)","Count in each",910.20,,,0.00,0,"No","","BX80673I99940X (Open Box)","No",,"1029/0413","1039",,,
,"Active","Inventory Part","Processors:INTEL:i9-9900KF (open box)","Open Box Intel i9-9900KF","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Open Box Intel i9-9900KF",0,"each (ea)","Count in each",635.00,,,0.00,0,"No","","i9-9900KF (open box)","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:i5-9600K (Open Box)","Open Box Intel Core i5-9600K 3.7G/9M/S1151 6-Core 95W with Intel UH 630 Graphics (BX80684I59600K)","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Open Box Intel Core i5-9600K 3.7G/9M/S1151 6-Core 95W with Intel UH 630 Graphics",0,"each (ea)","Count in each",296.00,,,0.00,0,"No","","BX80684I59600K","No",,"297/0504","298",,,
,"Active","Inventory Part","Processors:INTEL:i5-9400F (Open Box)","(Open Box) Intel Core i5-9400F 2.9G/2M/LGS1151 65W Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"(Open Box) Intel Core i5-9400F 2.9G/2M/LGS1151 65W Retail",0,"each (ea)","Count in each",164.00,,,0.00,0,"No","","BX80684I59400F (Open Box)","No",,"173/0406","174","199.99",,
,"Active","Inventory Part","Processors:INTEL:i7-7700 (open box)","(Open box) Intel Core i7-7700 3.6G/8M/S1151 with Intel HD Graphics 630 (BX80677I77700 open box)","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i7-7700 3.6G/8M/S1151 with Intel HD Graphics 630 (BX80677I77700 open box)",1,"each (ea)","Count in each",395.90,,,0.00,0,"No","","BX80677I77700 (open box)","No",,"382/0511","384","399.99/0403",,"i7-7700 (open box)"
,"Active","Inventory Part","Processors:INTEL:i5-7500 (open box)","Intel Core i5-7500 3.4G/6M/S1151 65W Retail (open box)","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i5-7500 3.4G/6M/S1151 65W Retail (open box)",0,"each (ea)","Count in each",0.00,,,0.00,0,"No","","BX80677I57500 (open box)","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:i9-10940X","Intel core i9-10940X 3.3G 19.25M 14 Cores/28Thread LGA2066 Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel core i9-10940X 3.3G 19.25M 14 Cores/28Thread LGA2066 Retail",0,"each (ea)","Count in each",1152.16,,,1499.99,1694.9887,"No","","BX8069510940X","No",,"1249/0511","1259","1499.99/0413","1152.16/cc/0323","i9-10940x"
,"Active","Inventory Part","Processors:INTEL:E-2146G","Intel Xeon E-2146G 3.5 GHz LGA 1151 80W BX80684E2146G Server Processor Intel UHD Graphics P630","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Xeon E-2146G Coffee Lake 3.5 GHz LGA 1151 80W BX80684E2146G Server Processor Intel UHD Gra...",0,"each (ea)","Count in each",412.39,,,0.00,0,"No","","BX80684E2146G","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:E-2234 OEM","Intel Xeon E-2234 3.6G 8M 4C 8T LGA14C Retail (90 days warranty)","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Xeon E-2234 3.6G 8M 4C 8T LGA14C Retail  (90 days warranty)",0,"each (ea)","Count in each",0.00,,,0.00,0,"No","","BX80684E2234","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:E3-1240v6","Intel Xeon E3-1240v6 3.7G 8M FCLGA1151 Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Xeon E3-1240v6 3.7G 8M FCLGA1151 Retail",0,"each (ea)","Count in each",0.00,,,0.00,0,"No","","BX80677E31240V6","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:i9-10920X","Intel Core i9-10920X 3.5G/19.25M 12-cores LGA2066 165W Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i9-10920X 3.5G/19.25M 12-cores LGA2066 165W Retail",0,"each (ea)","Count in each",1019.86,,,0.00,0,"No","","BX8069510920X","No",,"1089/0511","1099","1299/0413",,"i9-10920x"
,"Active","Inventory Part","Processors:INTEL:i9-10900X","Intel Core i9-10900X Cascade Lake 10-core 3.7G LGA2066 165W Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i9-10900X Cascade Lake 10-core 3.7G LGA2066 165W Retail",0,"each (ea)","Count in each",861.99,,,0.00,0,"No","","BX8069510900X","No",,"989/0406","995","1239/0402",,"i9-10900X"
,"Active","Inventory Part","Processors:INTEL:4210","Intel Xeon Silver 4210 10-Cores 2.2G LGA 3647 85W Server Processor","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Xeon Silver 4210 10-Cores 2.2G LGA 3647 85W Server Processor",0,"each (ea)","Count in each",675.02,,,0.00,0,"No","","BX806954210","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:I9-9900KS","Intel i9-9900KS 8Cores/16Threads 4GHz 16MB LGA1151","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel i9-9900KS 8Cores/16Threads 4GHz 16MB LGA1151",0,"each (ea)","Count in each",681.92,,,0.00,0,"No","","BX80684I99900KS","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:6132-OEM","Intel Xeon 6132 2.6G/19.25M 14-cores LGA3647 OEM","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Xeon 6132 2.6G/19.25M 14-cores LGA3647 OEM",0,"each (ea)","Count in each",0.00,,,0.00,0,"No","",,"No",,,,,,
,"Active","Inventory Part","Processors:INTEL:i9-9960X","Intel Core i9-9960X 3.1G/22M LGA2066 Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i9-9960X 3.1G/22M LGA2066 Retail",0,"each (ea)","Count in each",1109.00,,,0.00,0,"No","","BX80673I99960X","No",,"1195/0511","1199","1599/0413",,"i9-9960X"
,"Active","Inventory Part","Processors:INTEL:i7-9800x","Intel core i7-9800X 3.8G/16.5M LGA2066 8C/16T Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel core i7-9800X 3.8G/16.5M LGA2066 8C/16T Retail",0,"each (ea)","Count in each",739.20,,,0.00,0,"No","","BX80673I79800X","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:i5-9500","Intel Core i5-9500 3.0G 9M 6C/6T LGA1151 Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i5-9500 3.0G 9M 6C/6T LGA1151 Retail",4,"each (ea)","Count in each",270.04,,,0.00,0,"No","","BX80684I59500","No",,"278/0511","279","309.59/0413","264.95/dh/0409","i5-9500"
,"Active","Inventory Part","Processors:INTEL:i7-6900K","Intel Core i7-6900K Broadwell-E Core x8 3.2G LGA2011v- 140W Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i7-6900K Broadwell-E Core x8 3.2G LGA2011v- 140W Retail",0,"each (ea)","Count in each",0.00,,,0.00,0,"No","","BX80671I76900K","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:i3-8300","Intel Core i3-8300 Desktop Processor 4 Core 3.7GHz LGA1151 300 Series 62W","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i3-8300 Desktop Processor 4 Core 3.7GHz LGA1151 300 Series 62W",0,"each (ea)","Count in each",192.61,,,0.00,0,"No","","BX80684I38300","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:6230","Intel Xeon 6230 Icosa-core (20 core) 2.10GHz 28MB Processor","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Xeon 6230 Icosa-core (20 core) 2.10GHz 28MB Processor",0,"each (ea)","Count in each",0.00,,,0.00,0,"No","","BX806956230","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:i9-9940X","Intel Core i9-9940X 3.3G/19.25M LGS2066 Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i9-9940X 3.3G/19.25M LGS2066 Retail",0,"each (ea)","Count in each",1010.92,,,0.00,0,"No","","BX80673I99940X","No",,"1089/0511","1099","1159.99/0413",,"i9-9940X"
,"Active","Inventory Part","Processors:INTEL:i9-9820X","Intel CPU BX80673I99820X Core i9-9820X Box 16.5M Cache 3.30GHz 10 Cores 20 Threads LGA2066 Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel CPU BX80673I99820X Core i9-9820X Box 16.5M Cache 3.30GHz 10 Cores 20 Threads LGA2066 Retail",0,"each (ea)","Count in each",713.20,,,0.00,0,"No","","BX80673I99820X","No",,"739/0413","742","799.99/0413","729.99/am/0413",
,"Active","Inventory Part","Processors:INTEL:i9-9900KF","Intel i9-9900KF 3.6G/16M 8Core/16Threads LGA1151 Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel i9-9900KF 3.6G/16M 8Core/16Threads LGA1151 Retail",0,"each (ea)","Count in each",645.55,,,729.99,824.8887,"No","","BX80684I99900KF","No",,"645/0528","648","707.99/0413","hold formmax 0528","i9-9900KF"
,"Active","Inventory Part","Processors:INTEL:i7-9700KF","Intel Core i7-9700KF 3.6G/12M LGA1151 8Core/8Threads Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i7-9700KF 3.6G/12M LGA1151 8Core/8Threads Retail",0,"each (ea)","Count in each",483.66,,,539.99,610.1887,"No","","BX80684I79700KF","No",,"486/0511","487","539.99/0413","472.44/0408/dh","i7-9700KF"
,"Active","Inventory Part","Processors:INTEL:i7-9700F","Intel i7-9700F 3.0G/12M/S1151 Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel i7-9700F 3.0G/12M/S1151 Retail",1,"each (ea)","Count in each",425.60,,,469.99,531.0887,"No","","BX80684I79700F","No",,"426/0519","427","462.99/0413","wosolo/na/0602","i7-9700F"
,"Active","Inventory Part","Processors:INTEL:i9-9900","Intel Corei9-9900 Box 16M Cache 3.1GHz 8Cores/16Threads LGA1151 Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00," Intel CPU BX80684I99900 Corei9-9900 Box 16M Cache 3.1GHz 8Cores/16Threads LGA1151 Retail..",0,"each (ea)","Count in each",583.00,,,0.00,0,"No","","BX80684I99900","No",,"603/0225","604",,,
,"Active","Inventory Part","Processors:INTEL:i9-9980XE","Intel Core i9-9980XE Processor Extreme Edition (24.75M Cache, up to 4.40 GHz) FC-LGA14A","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i9-9980X 3G/24.75MB LGA2066 Retail",0,"each (ea)","Count in each",1258.33,,,0.00,0,"No","","BX80673I99980X","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:i5-9600KF","Intel Core i5-9600KF 3.7G/9M/S1151 6-Core 95W (BX80684I59600KF)","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i5-9600KF 3.7G/9M/S1151 6-Core 95W",3,"each (ea)","Count in each",262.57,,,299.99,338.9887,"No","","BX80684I59600KF","No",,"260/0524","261","289.99/0421","248.13/dh/0413","i5-9600KF"
,"Active","Inventory Part","Processors:INTEL:i7-9700","Intel Core i7-9700 3.0G/12M 8 cores / 8 Threads LGA1151 Retail (BX80684I79700)","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i7-9700 3.0G/12M 8cores/8Threads LGA1151 Retail",10,"each (ea)","Count in each",451.79,,,555.99,628.2687,"No","","BX80684I79700","No",,"457/0602","458","555.99/0413",,"i7-9700"
,"Active","Inventory Part","Processors:INTEL:E3-1245v6","Intel Xeon E3-1245v6 3.7G 4 8M cores 8 Threads FCLGA1151 Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Xeon E3-1245v6 3.7G 4 8M cores 8 Threads FCLGA1151 Retail",0,"each (ea)","Count in each",0.00,,,0.00,0,"No",""," BX80677E31245V6","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:i9-9920X","Intel Core i9-9920X Skylake X 12-Core 3.5 GHz (4.4 GHz Turbo) LGA 2066 165W (BX80673I99920X)","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i9-9920X Skylake X 12-Core 3.5 GHz (4.4 GHz Turbo) LGA 2066 165W",0,"each (ea)","Count in each",896.28,,,0.00,0,"No","","BX80673I99920X","No",,,,,,
,"Active","Inventory Part","Processors:INTEL:i3-9100","Intel Core i3-9100 3.4G/6M LGA1151 65W Box (BX80684I39100)","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i3-9100 3.4G/6M LGA1151 65W Box",45,"each (ea)","Count in each",162.13,,,0.00,0,"No","","BX80684I39100","No",,"164/0525","165","196/0413",,"i3-9100"
,"Active","Inventory Part","Processors:INTEL:i3-9100F","Intel Core i3-9100F 4.2G/6M 4cores/4Threads LGA1151 Retail","H","H","Sales","Cost of Goods Sold","Inventory Asset",0.00,"Intel Core i3-9100F 4.2G/6M 4cores/4Threads LGA1151 Retail",14,"each (ea)","Count in each",94.74,,,119.99,135.5887,"No","","BX80684I39100F","No",,"96/0513","97","119.99/0413","92.98/0509/dh","i3-9100F"
